timestamp,P4,PO3,PO4,T5,T6,PO5,PO6,Oz,O1,O2,trigger
1756781341.7434092,-255916.28125,-255659.3125,-255885.46875,0.0,-255815.828125,-255970.1875,-255806.34375,-255571.25,-255856.59375,-256065.671875,-255808.40625
1756781341.7434092,-256034.6875,0.0,-255967.375,-256121.546875,-255957.71875,-255722.703125,-256007.6875,-256217.125,-255959.546875,-256186.375,0.0
1756781341.7434092,-256167.515625,-256322.09375,-256158.125,-255922.890625,-256208.09375,-256417.484375,-256159.59375,-256387.140625,0.0,-256372.609375,-256527.1875
1756781341.7434092,-256363.0,-256127.5,-256413.0625,-256622.28125,-256364.25,-256591.875,0.0,-256558.125,-256712.578125,-256548.15625,-256312.4375
1756781341.7439058,-256598.5,-256807.578125,-256549.453125,-256777.171875,0.0,-256741.71875,-256895.6875,-256731.671875,-256496.390625,-256782.09375,-256991.078125
1756781341.7439058,-256732.6875,-256961.046875,0.0,-256870.0625,-257023.984375,-256859.875,-256624.375,-256910.578125,-257119.328125,-256860.765625,-257089.15625
1756781341.7439058,0.0,-256931.046875,-257085.3125,-256921.4375,-256685.484375,-256972.03125,-257180.625,-256922.109375,-257150.3125,0.0,-256920.8125
1756781341.7439058,-257075.53125,-256911.515625,-256675.4375,-256961.84375,-257170.96875,-256911.953125,-257140.390625,0.0,-256808.109375,-256962.65625,-256798.640625
1756781341.7439058,-256562.546875,-256848.703125,-257058.0,-256799.53125,-257027.828125,0.0,-256656.4375,-256810.34375,-256646.6875,-256410.78125,-256696.890625
1756781341.7439058,-256905.78125,-256647.765625,-256875.703125,0.0,-256497.875,-256652.234375,-256488.125,-256252.578125,-256538.546875,-256747.484375,-256489.515625
1756781341.7439058,-256717.0,0.0,-256296.125,-256450.4375,-256286.28125,-256051.09375,-256336.71875,-256545.65625,-256287.578125,-256515.078125,0.0
1756781341.7439058,-256096.75,-256251.015625,-256087.046875,-255851.765625,-256137.328125,-256346.140625,-256088.46875,-256315.609375,0.0,-255892.265625,-256046.59375
1756781341.7439058,-255882.609375,-255647.5625,-255933.125,-256141.453125,-255884.0,-256111.09375,0.0,-255707.828125,-255861.421875,-255697.9375,-255463.109375
1756781341.7439058,-255748.28125,-255956.46875,-255699.59375,-255926.203125,0.0,-255595.078125,-255748.59375,-255585.203125,-255350.375,-255635.53125,-255843.71875
1756781341.7439058,-255586.671875,-255813.234375,0.0,-255543.625,-255697.671875,-255533.921875,-255298.96875,-255584.125,-255792.53125,-255535.484375,-255762.046875
1756781341.7439058,0.0,-255558.0625,-255711.75,-255547.6875,-255313.3125,-255598.125,-255806.75,-255549.703125,-255776.53125,0.0,-255665.9375
1756781341.782059,-255819.765625,-255655.875,-255421.3125,-255706.171875,-255914.75,-255657.703125,-255884.453125,0.0,-255811.140625,-255965.140625,-255801.296875
1756781341.782059,-255566.296875,-255851.671875,-256060.53125,-255802.59375,-256029.6875,0.0,-255964.015625,-256118.15625,-255954.0,-255718.953125,-256004.609375
1756781341.782059,-256213.421875,-255955.65625,-256182.84375,0.0,-256168.71875,-256322.859375,-256158.34375,-255923.25,-256208.71875,-256417.9375,-256160.21875
1756781341.782059,-256387.453125,0.0,-256373.5,-256528.046875,-256363.671875,-256128.34375,-256413.734375,-256623.171875,-256365.40625,-256592.953125,0.0
